iteration, loss
0,2.31019
1,2.30554
2,2.35809
3,2.33295
4,2.32441
5,2.30717
6,2.2967
7,2.32059
8,2.31198
9,2.30453
10,2.32583
11,2.32242
12,2.30716
13,2.30684
14,2.28639
15,2.28965
16,2.28852
17,2.27927
18,2.27373
19,2.27703
20,2.28979
21,2.26504
22,2.26824
23,2.26038
24,2.24226
25,2.26908
26,2.26809
27,2.26015
28,2.24924
29,2.2718
30,2.24426
31,2.24124
32,2.27376
33,2.22877
34,2.27498
35,2.26835
36,2.24255
37,2.24039
38,2.23759
39,2.21211
40,2.21267
41,2.22863
42,2.22478
43,2.21422
44,2.21828
45,2.20901
46,2.23556
47,2.20049
48,2.21675
49,2.19273
50,2.1967
51,2.17333
52,2.19009
53,2.1775
54,2.2102
55,2.21577
56,2.2018
57,2.16947
58,2.19905
59,2.17084
60,2.15834
61,2.12406
62,2.19453
63,2.17794
64,2.14164
65,2.17581
66,2.15248
67,2.24699
68,2.12733
69,2.13118
70,2.18068
71,2.19775
72,2.13502
73,2.22193
74,2.07443
75,2.11687
76,2.15728
77,2.09273
78,2.08344
79,2.12956
80,2.10674
81,2.08301
82,2.18845
83,2.06295
84,2.05298
85,2.09815
86,2.14709
87,2.08946
88,2.13458
89,2.03285
90,2.09385
91,2.04229
92,2.07548
93,2.05874
94,2.05109
95,2.12766
96,2.06957
97,2.05935
98,2.127
99,2.08575
100,2.07213
101,1.98778
102,2.03265
103,1.985
104,2.09099
105,1.99863
106,2.0504
107,2.02155
108,2.0024
109,2.04801
110,2.01708
111,1.9916
112,2.03923
113,2.07355
114,1.95798
115,2.00195
116,1.95377
117,2.07668
118,1.9038
119,2.07396
120,2.00809
121,2.10375
122,1.97976
123,1.94613
124,2.07486
125,1.92012
126,2.02163
127,2.01431
128,1.98073
129,1.98978
130,2.01374
131,1.95444
132,1.925
133,1.89638
134,1.96768
135,1.85493
136,1.84551
137,1.90507
138,2.02493
139,2.0168
140,1.92444
141,1.9035
142,1.94151
143,1.93385
144,1.92561
145,1.86315
146,1.76541
147,1.88744
148,1.96051
149,1.8963
150,1.88239
151,1.87796
152,1.92178
153,1.84541
154,1.96292
155,1.94148
156,1.92635
157,1.97172
158,1.84164
159,1.87188
160,1.88672
161,1.94723
162,1.8402
163,1.91933
164,1.92695
165,1.81671
166,1.97576
167,1.89973
168,1.9932
169,1.95465
170,1.83043
171,1.88386
172,2.01013
173,1.84429
174,1.87529
175,1.81293
176,1.7975
177,1.90631
178,1.96789
179,1.90387
180,1.86113
181,1.74215
182,1.85947
183,1.82696
184,1.84009
185,1.79434
186,1.83346
187,1.92599
188,1.7841
189,1.94554
190,1.8944
191,1.87573
192,1.76896
193,1.76812
194,1.88585
195,1.91897
196,1.7958
197,1.74849
198,1.88706
199,1.81018
200,1.71842
201,1.74014
202,1.84241
203,1.83318
204,1.81874
205,1.73605
206,1.76311
207,1.78192
208,1.84001
209,1.8105
210,1.70195
211,1.86409
212,1.79798
213,1.80225
214,1.7638
215,1.858
216,1.83569
217,1.77749
218,1.94928
219,1.78922
220,1.78763
221,1.72162
222,1.79554
223,1.78817
224,1.77367
225,1.81415
226,1.663
227,1.69408
228,1.64272
229,1.71144
230,1.78325
231,1.74308
232,1.72342
233,1.86731
234,1.76419
235,1.73545
236,1.6841
237,1.89816
238,1.83045
239,1.64779
240,1.73712
241,1.72535
242,1.7641
243,1.87341
244,1.74558
245,1.87503
246,1.70166
247,1.70074
248,1.61844
249,1.74712
250,1.8352
251,1.67925
252,1.76066
253,1.77014
254,1.80561
255,1.8519
256,1.6061
257,1.80902
258,1.88779
259,1.81977
260,1.75183
261,1.76581
262,1.72382
263,1.77368
264,1.88177
265,1.6843
266,1.78773
267,1.70786
268,1.70916
269,1.71209
270,1.68171
271,1.67946
272,1.7748
273,1.86589
274,1.62242
275,1.79552
276,1.73051
277,1.71364
278,1.70214
279,1.59332
280,1.74176
281,1.6931
282,1.77254
283,1.70165
284,1.49955
285,1.71916
286,1.8586
287,1.79499
288,1.632
289,1.75939
290,1.82488
291,1.836
292,1.67848
293,1.82351
294,1.77475
295,1.6403
296,1.75401
297,1.72619
298,1.84581
299,1.87198
300,1.69973
301,1.75143
302,1.69048
303,1.71296
304,1.72718
305,1.8559
306,1.80052
307,1.80093
308,1.71992
309,1.61106
310,1.82006
311,1.71836
312,1.87472
313,1.69784
314,1.82376
315,1.6873
316,1.76712
317,1.83468
318,1.74675
319,1.77815
320,1.78598
321,1.83612
322,1.81065
323,1.67958
324,1.63627
325,1.65707
326,1.59551
327,1.6917
328,1.8043
329,1.74951
330,1.76957
331,1.69935
332,1.65428
333,1.65796
334,1.69154
335,1.74934
336,1.60728
337,1.70947
338,1.75611
339,1.69898
340,1.66241
341,1.78033
342,1.66371
343,1.78704
344,1.59897
345,1.60313
346,1.7259
347,1.78645
348,1.64647
349,1.85831
350,1.79041
351,1.69634
352,1.81855
353,1.79068
354,1.83603
355,1.7675
356,1.61834
357,1.60495
358,1.6825
359,1.75179
360,1.78005
361,1.72098
362,1.79624
363,1.68897
364,1.72521
365,1.6213
366,1.66367
367,1.64414
368,1.61816
369,1.78782
370,1.67663
371,1.73649
372,1.63446
373,1.59566
374,1.56865
375,1.56857
376,1.60084
377,1.5551
378,1.51716
379,1.68016
380,1.58215
381,1.689
382,1.50297
383,1.63046
384,1.67463
