iteration, loss
0,2.3131
1,2.29699
2,2.30662
3,2.3044
4,2.30278
5,2.28764
6,2.29592
7,2.30034
8,2.29293
9,2.2869
10,2.28651
11,2.28203
12,2.27831
13,2.29087
14,2.28202
15,2.26791
16,2.26907
17,2.26989
18,2.29253
19,2.27726
20,2.29064
21,2.26705
22,2.30937
23,2.26651
24,2.23934
25,2.25059
26,2.268
27,2.26317
28,2.25094
29,2.25979
30,2.22011
31,2.24041
32,2.24895
33,2.21382
34,2.22849
35,2.23243
36,2.22128
37,2.23485
38,2.21025
39,2.21386
40,2.22793
41,2.20457
42,2.20388
43,2.19867
44,2.19521
45,2.164
46,2.15131
47,2.22255
48,2.21704
49,2.16978
50,2.18637
51,2.19397
52,2.14224
53,2.14927
54,2.13688
55,2.14433
56,2.18238
57,2.1209
58,2.13998
59,2.12663
60,2.13797
61,2.12416
62,2.1169
63,2.08748
64,2.1293
65,2.1412
66,2.07076
67,2.07739
68,2.11359
69,2.12345
70,2.05667
71,2.07614
72,2.03643
73,2.09001
74,2.06865
75,2.03551
76,2.02841
77,2.09182
78,2.03608
79,2.08553
80,2.06104
81,2.04127
82,2.03998
83,2.03822
84,2.03086
85,2.04326
86,2.03158
87,2.01971
88,1.95957
89,2.02815
90,1.98897
91,1.99403
92,1.95012
93,1.94377
94,2.04822
95,2.03299
96,1.99772
97,2.03429
98,1.97897
99,1.89663
100,1.9964
101,1.98518
102,1.97465
103,1.97134
104,2.08053
105,1.85946
106,1.98523
107,2.00042
108,1.98363
109,1.97236
110,2.04281
111,1.85144
112,1.93112
113,1.98741
114,1.99619
115,1.96574
116,1.86368
117,1.94102
118,1.94719
119,1.85086
120,1.91764
121,1.91381
122,1.92424
123,1.84787
124,1.91232
125,1.87591
126,1.93214
127,1.84686
128,1.89564
129,1.92573
130,1.89975
131,1.88146
132,1.89826
133,1.88815
134,1.87236
135,1.86121
136,1.83112
137,1.93758
138,1.89798
139,1.8663
140,1.82206
141,1.88194
142,1.80124
143,1.7544
144,1.85331
145,1.84013
146,1.85647
147,1.8695
148,1.84575
149,1.74131
150,1.91207
151,2.09966
152,1.76264
153,1.82526
154,1.9374
155,1.90144
156,1.81968
157,1.84052
158,1.83678
159,1.83546
160,1.85587
161,1.82542
162,1.92099
163,1.91692
164,1.796
165,1.87315
166,1.8386
167,1.82774
168,1.8061
169,1.87737
170,1.76884
171,1.74118
172,1.75264
173,2.01357
174,1.92241
175,1.88223
176,1.75462
177,1.85315
178,1.77615
179,1.79572
180,1.77905
181,1.79844
182,1.87743
183,1.84879
184,1.7663
185,1.79318
186,1.72537
187,1.88701
188,1.81711
189,1.89129
190,1.71016
191,1.82245
192,1.80634
193,1.82866
194,1.79195
195,1.75325
196,1.7994
197,1.79326
198,1.80104
199,1.94368
200,1.90931
201,1.76694
202,1.9214
203,1.80748
204,1.89734
205,1.77818
206,1.771
207,1.76459
208,1.93146
209,1.67486
210,1.70468
211,1.7164
212,1.81454
213,1.86673
214,1.8307
215,1.80135
216,1.91092
217,1.67798
218,1.70501
219,1.82924
